               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076682,            0.023415,            0.020113,             0.47763,             0.49356,             0.44057,             0.16895,            0.048002,           0.0088907,           0.0040933,            0.070037,           0.0033292,           0.0033292
                   1,            0.055033,            0.018639,           0.0070174,             0.60253,             0.58898,             0.56602,             0.23833,            0.043489,           0.0087993,           0.0036273,            0.039993,           0.0066186,           0.0066186
                   2,            0.052261,            0.018309,           0.0064341,             0.65504,             0.54375,             0.60467,             0.23638,            0.042505,           0.0089375,           0.0046121,           0.0099049,            0.009864,            0.009864
                   3,            0.051407,             0.01901,           0.0068019,             0.71223,             0.55479,             0.62559,             0.25953,            0.042727,           0.0091694,            0.003726,            0.009802,            0.009802,            0.009802
                   4,            0.049114,            0.018419,           0.0060176,             0.71775,             0.57916,             0.66191,             0.29324,            0.041642,           0.0087627,           0.0027749,            0.009802,            0.009802,            0.009802
                   5,            0.047077,            0.018044,           0.0050983,             0.74629,             0.60264,             0.70898,             0.31807,            0.038469,            0.008298,           0.0025404,            0.009736,            0.009736,            0.009736
                   6,            0.045885,            0.017825,           0.0047189,             0.78863,             0.67689,             0.76117,             0.34681,            0.037953,           0.0081317,           0.0019544,             0.00967,             0.00967,             0.00967
                   7,            0.044597,            0.017283,           0.0041954,             0.82926,             0.69909,             0.80295,             0.39307,            0.036238,           0.0077488,           0.0020564,            0.009604,            0.009604,            0.009604
                   8,            0.043481,             0.01696,             0.00409,              0.8297,             0.73169,              0.8193,             0.40624,            0.035504,            0.007845,           0.0010888,            0.009538,            0.009538,            0.009538
                   9,            0.042776,            0.016304,            0.003476,             0.85215,             0.77471,             0.85473,             0.42008,            0.034771,           0.0075148,           0.0010489,            0.009472,            0.009472,            0.009472
                  10,            0.041945,            0.016139,           0.0035501,             0.82833,             0.78173,             0.84309,             0.42379,            0.035044,           0.0072147,           0.0011924,            0.009406,            0.009406,            0.009406
